Value,Disaggregation combinations using this value,Number of indicators
0-14 лет,1,1
15-24 лет,1,1
25 и старше,1,1
8 лет,2,1
9 лет,2,1
В возрасте посещения 2-го/3-го класса,2,1
Взрослое население трудоспособного возраста (от 29 лет),7,7
Взрослые (18-64),1,1
Дети в возрасте 0 - 17 лет,2,2
Дети в возрасте 0-6 лет,1,1
Дети в возрасте 7-14 лет,1,1
Дети (до 18),1,1
Молодежь в возрасте 14 - 28 лет,1,1
Молодежь в возрасте 14- 28 лет,1,1
"Молодёжь, 15-28 лет",7,7
"Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",1,1
Население старше трудоспособного возраста,1,1
"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",1,1
"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)",1,1
Пожилые (65 и старше),1,1
Посещающие 4-й класс,2,1
Посещающие 9-й класс,2,1
"Старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",7,7
