Value,en,Disaggregation combinations using this value,Number of indicators
Above-ground biomass in forest per hectare (tonnes per hectare),Above-ground biomass in forest per hectare (tonnes per hectare),1,1
"Adolescent birth rate (per 1,000 women aged 15-19 years)","Adolescent birth rate (per 1,000 women aged 15-19 years)",10,1
Agriculture orientation index for government expenditures,Agriculture orientation index for government expenditures,1,1
Annual growth rate of real GDP per capita,Annual growth rate of real GDP per capita,1,1
Annual growth rate of real GDP per employed person,Annual growth rate of real GDP per employed person,1,1
Area of green spaces in localities per 1000 people,Area of green spaces in localities per 1000 people,10,1
Assets to GDP,Assets to GDP,1,1
Average monthly wages,Average monthly wages,40,1
"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%","Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",10,1
Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas,1,1
Consumer price index for food products,Consumer price index for food products,10,1
Death rate due to road traffic injuries,Death rate due to road traffic injuries,10,1
Debt service as a proportion of exports of goods and services,Debt service as a proportion of exports of goods and services,1,1
Deposits to GDP,Deposits to GDP,1,1
Detected victims of human trafficking (number),Detected victims of human trafficking (number),1,1
Direct economic loss attributed to disasters relative to GDP,Direct economic loss attributed to disasters relative to GDP,10,1
Direct economic loss attributed to disasters,Direct economic loss attributed to disasters,10,1
Employment in the informal sector incuding agriculture,Employment in the informal sector incuding agriculture,16,1
Energy intensity of GDP by industry,Energy intensity of GDP by industry,1,1
Executive branch of the government satisfaction index,Executive branch of the government satisfaction index,20,1
Fatal occupational injuries among employees (rate),Fatal occupational injuries among employees (rate),26,1
Fixed broadband subscriptions (number),Fixed broadband subscriptions (number),3,1
Foreign direct investment by economic activity,Foreign direct investment by economic activity,19,1
Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,1,1
Forest area as a proportion of total country area,Forest area as a proportion of total country area,8,1
Forest area net change rate (%),Forest area net change rate (%),1,1
Forest area within legally established protected areas,Forest area within legally established protected areas,1,1
Freight volume (tonne kilometres),Freight volume (tonne kilometres),6,1
Freshwater withdrawal,Freshwater withdrawal,12,1
Growth rates of household expenditure or income per capita,Growth rates of household expenditure or income per capita,1,1
Hazardous waste generated per capita,Hazardous waste generated per capita,1,1
Health workder density,Health workder density,4,1
Incidence of alcohol dependence per 100 000 people,Incidence of alcohol dependence per 100 000 people,30,1
Incidence of drug addition per 100 000 people,Incidence of drug addition per 100 000 people,30,1
"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""","Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",10,1
Insurance premiums collected,Insurance premiums collected,1,1
"Labour share of GDP, comprising wages and social protection transfers","Labour share of GDP, comprising wages and social protection transfers",1,1
Loans to GDP,Loans to GDP,1,1
"Malaria incidence per 1,000 population at risk","Malaria incidence per 1,000 population at risk",10,1
Manufacturing employment as a proportion of total employment,Manufacturing employment as a proportion of total employment,12,1
Manufacturing value added as a proportion of GDP,Manufacturing value added as a proportion of GDP,1,1
Manufacturing value added per capita,Manufacturing value added per capita,1,1
Maternal mortality ratio,Maternal mortality ratio,10,1
Mortality from the toxic effect of carbon monoxide per 100 000 population,Mortality from the toxic effect of carbon monoxide per 100 000 population,29,1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",40,1
Mortality rate attributed to unintentional poisonings,Mortality rate attributed to unintentional poisonings,10,1
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",10,1
Neonatal mortality rate,Neonatal mortality rate,10,1
Non-fatal occupational injuries among employees (rate),Non-fatal occupational injuries among employees (rate),30,1
Number of appeals to the Ombudsman,Number of appeals to the Ombudsman,1,1
"Number of automated teller machines (ATMs) per 100,000 adults","Number of automated teller machines (ATMs) per 100,000 adults",1,1
Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,32,1
"Number of commercial bank branches per 100,000 adults","Number of commercial bank branches per 100,000 adults",1,1
Number of convictions for malfeasance,Number of convictions for malfeasance,3,1
Number of convictions for сorruption and bribery,Number of convictions for сorruption and bribery,3,1
Number of deaths due to disaster,Number of deaths due to disaster,30,1
Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,6,1
Number of insurance companies reporting,Number of insurance companies reporting,1,1
"Number of new HIV infections per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population",30,1
Number of pensioners who receive pensions below the subsistence level of the pensioner,Number of pensioners who receive pensions below the subsistence level of the pensioner,1,1
Number of people who receive training in information and communication technologies (ICT),Number of people who receive training in information and communication technologies (ICT),7,1
Number of people with disabilities receiving pensions Monthly Social Allowance,Number of people with disabilities receiving pensions Monthly Social Allowance,1,1
Number of successful appeals to the Ombudsman,Number of successful appeals to the Ombudsman,1,1
"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population",10,1
Number of victims of intentional homicide,Number of victims of intentional homicide,10,1
Number of women treated for injuries resulting from domestic violence,Number of women treated for injuries resulting from domestic violence,1,1
"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence","Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",1,1
Number of women who contacted forensic medical units due to domestic violence,Number of women who contacted forensic medical units due to domestic violence,1,1
"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence","Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",1,1
