Value,en,Disaggregation combinations using this value,Number of indicators
Cause: because of sickness,Cause: because of sickness,2,1
Cause: Children with disabilities,Cause: Children with disabilities,2,1
Cause:   does not match the age of the given class,Cause:   does not match the age of the given class,2,1
Cause: for domestic reasons,Cause: for domestic reasons,2,1
Cause: lack knowledge of language,Cause: lack knowledge of language,2,1
"Cause: lack of the necessary documents ( birth certificates, registration)","Cause: lack of the necessary documents ( birth certificates, registration)",2,1
Cause:  lack of transportation (school too far from home),Cause:  lack of transportation (school too far from home),2,1
"Cause: married, pregnant, they became parents ( mother, father )","Cause: married, pregnant, they became parents ( mother, father )",2,1
Cause: material difficulty,Cause: material difficulty,2,1
Cause: no wishes to learn,Cause: no wishes to learn,2,1
Cause: other reasons,Cause: other reasons,2,1
"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )","Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",2,1
Cause: troubled families,Cause: troubled families,2,1
Cause: unwillingness of parents,Cause: unwillingness of parents,2,1
Cause: working,Cause: working,2,1
Country: Hungary,Country: Hungary,1,1
Country: People's Republic of China,Country: People's Republic of China,1,1
Country: Republic of Belarus,Country: Republic of Belarus,1,1
Country: Republic of Kazakhstan,Country: Republic of Kazakhstan,1,1
Country: Republic of Tajikistan,Country: Republic of Tajikistan,1,1
Country: Russian Federation,Country: Russian Federation,1,1
Expenditure on Animal protection,Expenditure on Animal protection,1,1
Expenditure on Anti-epizootic measures,Expenditure on Anti-epizootic measures,1,1
Expenditure on Environmental issues not classified elsewhere,Expenditure on Environmental issues not classified elsewhere,1,1
Expenditure on Nature parks and reserves,Expenditure on Nature parks and reserves,1,1
"Expenditure on Other services for the protection
of biodiversity and landscape","Expenditure on Other services for the protection
of biodiversity and landscape",1,1
"Expenditure on Other services on environmental
protection","Expenditure on Other services on environmental
protection",1,1
"Expenditure on Plant chemicals, protection and
quarantine","Expenditure on Plant chemicals, protection and
quarantine",1,1
Expenditure on Plant protection,Expenditure on Plant protection,1,1
Expenditure on Pollution control,Expenditure on Pollution control,1,1
"Expenditure on Research and development work
related to environmental protection","Expenditure on Research and development work
related to environmental protection",1,1
Expenditure on Veterinary diagnostics,Expenditure on Veterinary diagnostics,1,1
Скорость интернета: 10 Мбит /с  или выше,Internet speed: 10 Mbit/s or above,1,1
Скорость интернета: от 2 Мбит /с  до менее 10 Мбит / с,Internet speed: 2 Mbit/s to less than 10 Mbit/s,1,1
Скорость интернета: от 256 кбит /с  до менее 2 Мбит / с,Internet speed: 256 kbit/s to less than 2 Mbit/s,1,1
Вид транспорта: воздушный,Mode of Transport: Air,1,1
Вид транспорта: трубопроводный,Mode of Transport: Pipeline,1,1
Вид транспорта: железнодорожный,Mode of Transport: Rail,1,1
Вид транспорта: дорожный,Mode of Transport: Road,1,1
Вид транспорта: водный,Mode of Transport: Water,1,1
Неинфекционные заболевания: рак,Non-communicable disease: Cancer,10,1
Неинфекционные заболевания: сердечно-сосудистые заболевания,Non-communicable disease: Cardiovascular disease,10,1
Неинфекционные заболевания: хронические респираторные заболевания,Non-communicable disease: Chronic respiratory disease,10,1
Неинфекционные заболевания:диабет,Non-communicable disease: Diabetes,10,1
Pollutants: Carbon monoxide,Pollutants: Carbon monoxide,1,1
Pollutants: Gaseous and liquid,Pollutants: Gaseous and liquid,1,1
Pollutants: Nitrogen oxide,Pollutants: Nitrogen oxide,1,1
Pollutants: Solid,Pollutants: Solid,1,1
Pollutants: Sulphur dioxide,Pollutants: Sulphur dioxide,1,1
Sector: Economic affairs,Sector: Economic affairs,2,1
Sector: Education,Sector: Education,2,1
Sector: Health,Sector: Health,2,1
Sector: Housing and community amenities,Sector: Housing and community amenities,2,1
Sector: Total,Sector: Total,2,1
Skill: ICT Skill: connecting and installing new devices,Skill: ICT Skill: connecting and installing new devices,2,1
Skill: ICT Skill: Copying or moving a file or folder,Skill: ICT Skill: Copying or moving a file or folder,2,1
Skill: ICT Skill: Creating electronic presentations with presentation software,Skill: ICT Skill: Creating electronic presentations with presentation software,2,1
"Skill: ICT Skill: Finding, downloading, installing and configuring software","Skill: ICT Skill: Finding, downloading, installing and configuring software",2,1
Skill: ICT Skill: Sending e-mails with attached files,Skill: ICT Skill: Sending e-mails with attached files,2,1
Skill: ICT Skill: Transferring files between a computer and other devices,Skill: ICT Skill: Transferring files between a computer and other devices,2,1
Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,2,1
Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,2,1
Skill: ICT Skill: Writing a computer program using a specialized programming language,Skill: ICT Skill: Writing a computer program using a specialized programming language,2,1
Water source: Aquifers,Water source: Aquifers,1,1
Water source: Natural,Water source: Natural,1,1
