Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,10.5
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,10.8
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,9.1
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,9.0
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,8.0
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,7.9
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,6.4
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,6.8
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,7.0
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,6.0
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,5.9
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Киргизия,На 100 000 населения,6.3
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,1.4
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,2.8
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,3.5
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,3.0
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,1.3
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,3.5
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,3.9
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,2.1
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,1.4
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,1.2
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,3.3
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Баткенская область,На 100 000 населения,1.2
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.3
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,1.4
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,1.5
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.4
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.2
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.4
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.2
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.1
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.9
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,1.9
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.5
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Джалал-Абадская область,На 100 000 населения,2.4
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,34.1
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,35.1
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,26.2
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,33.0
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,31.4
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,26.6
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,24.8
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,30.6
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,31.3
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,19.4
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,23.5
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Иссык-Кульская область,На 100 000 населения,26.7
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,12.4
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,9.3
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,9.7
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,11.5
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,9.9
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,8.3
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,6.3
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,5.5
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,7.2
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,7.2
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,8.1
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Нарынская область,На 100 000 населения,10.9
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,1.0
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,2.4
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,2.7
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,2.5
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,2.4
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,3.7
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,1.6
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,2.7
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,4.0
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,3.4
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,2.3
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Ошская область,На 100 000 населения,3.4
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,3.6
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,4.4
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,4.4
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,3.5
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,2.6
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,5.5
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,3.7
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,4.1
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,6.8
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,6.3
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,2.3
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Таласская область,На 100 000 населения,5.7
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,15.8
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,16.0
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,11.9
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,11.1
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,7.7
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,9.4
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,7.4
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,7.9
