Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,12.090992
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,10.585236
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,10.866987
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,9.159392
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,9.955113
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,10.075772
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,8.0
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,7.5
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,5.9
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,6.0
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,5.3
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,,На 100 000 населения,5.139872
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,10.26386
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,8.088592
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,7.22507
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,6.597241
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,7.700463
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,7.084345
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,6.4
