Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Units,Value
2013,Annual,National,Forest area net change rate (%),Kyrgyzstan,Hectares,1037.0
2014,Annual,National,Forest area net change rate (%),Kyrgyzstan,Hectares,778.0
2015,Annual,National,Forest area net change rate (%),Kyrgyzstan,Hectares,507.0
2016,Annual,National,Forest area net change rate (%),Kyrgyzstan,Hectares,616.0
2017,Annual,National,Forest area net change rate (%),Kyrgyzstan,Hectares,490.0
2018,Annual,National,Forest area net change rate (%),Kyrgyzstan,Hectares,400.0
2013,Annual,National,Above-ground biomass in forest per hectare (tonnes per hectare),Kyrgyzstan,Tonnes per hectare,26.7
2013,Annual,National,Forest area within legally established protected areas,Kyrgyzstan,Процент,5.7
2014,Annual,National,Forest area within legally established protected areas,Kyrgyzstan,Процент,5.7
2015,Annual,National,Forest area within legally established protected areas,Kyrgyzstan,Процент,5.7
2016,Annual,National,Forest area within legally established protected areas,Kyrgyzstan,Процент,5.7
2017,Annual,National,Forest area within legally established protected areas,Kyrgyzstan,Процент,5.7
2018,Annual,National,Forest area within legally established protected areas,Kyrgyzstan,Процент,5.8
2013,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Процент,74.6
2014,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Процент,76.4
2015,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Процент,78.0
2016,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Процент,79.6
2017,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Процент,81.3
2018,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Процент,82.6
