Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,145.4
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,1235.9
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,74.6
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,516.9
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,939.9
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,924.9
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,220.6
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,455.7
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,2290.6
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,1006.2
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,1027.4
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Киргизия,Местная валюта,1214.6
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,17.8
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,130.4
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,25.4
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,26.2
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,551.4
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,267.9
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,4.5
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,41.6
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,588.8
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,376.3
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,135.0
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Баткенская область,Местная валюта,189.8
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,66.7
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,31.0
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,3.7
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,305.9
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,148.6
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,375.2
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,38.0
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,31.2
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,85.1
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,232.3
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,120.1
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Джалал-Абадская область,Местная валюта,72.9
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,0.5
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,0.7
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,9.5
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,0.6
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,5.3
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,40.4
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,75.2
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,356.3
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,7.7
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,102.7
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,84.2
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Иссык-Кульская область,Местная валюта,74.2
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,0.6
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,2.8
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,0.6
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,120.1
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,121.0
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,141.3
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,72.2
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,4.3
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,27.8
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,22.3
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,12.8
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Нарынская область,Местная валюта,1.4
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,6.3
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,1024.9
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,10.9
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,40.5
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,105.0
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,48.1
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,2.9
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,1.1
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,1364.2
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,16.2
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,261.8
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Ошская область,Местная валюта,12.4
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,12.3
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,4.4
2009,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,24.5
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,22.0
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,3.0
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,49.0
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,6.6
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,1.1
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,8.9
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,76.1
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,14.7
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Таласская область,Местная валюта,0.7
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,8.4
2010,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,1.7
2011,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,5.6
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,1.7
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,14.1
2014,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,20.0
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,24.4
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,93.2
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,207.5
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,Чуйская область,Местная валюта,6.1
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,32.2
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,41.5
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,0.7
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,44.7
