Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Возраст,Unit of measure,Value
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1-14 лет,Процент,57.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1-14 лет,Процент,74.3
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Баткенская область,1-14 лет,Процент,49.4
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Баткенская область,1-14 лет,Процент,46.8
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Жалал-Абад область,1-14 лет,Процент,42.9
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Жалал-Абад область,1-14 лет,Процент,65.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Иссык-Кульская область,1-14 лет,Процент,48.2
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Иссык-Кульская область,1-14 лет,Процент,80.9
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Нарынская область,1-14 лет,Процент,58.0
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Нарынская область,1-14 лет,Процент,74.0
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Ошская область,1-14 лет,Процент,57.8
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Ошская область,1-14 лет,Процент,74.4
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Таласская область,1-14 лет,Процент,71.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Таласская область,1-14 лет,Процент,79.9
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Чуйская область,1-14 лет,Процент,66.8
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Чуйская область,1-14 лет,Процент,83.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,г. Бишкек,1-14 лет,Процент,70.3
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,г. Бишкек,1-14 лет,Процент,80.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,г. Ош,1-14 лет,Процент,71.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,г. Ош,1-14 лет,Процент,85.6
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1-2 года,Процент,45.5
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1-2 года,Процент,55.3
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan, в возрасте 1 года,Процент,39.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,2 года и старше,Процент,51.8
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,3-4 года,Процент,67.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,3-4 года,Процент,71.2
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,5-6 лет,Процент,61.9
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,10-14 лет,Процент,52.7
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,10-14 лет,Процент,78.8
