Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",7.76329
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",10.378419
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",12.464527
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",10.168944
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",10.771106
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",12.55459
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",8.4
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",10.5
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",10.2
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",11.7
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,,"Per 100,000 population",12.8
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",4.195446
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",6.715757
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",6.454885
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",6.053512
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",6.446899
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",10.573649
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",7.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",9.1
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",9.1
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",9.7
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,женский,"Per 100,000 population",10.7
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",11.428246
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",14.14101
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",18.632418
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",14.390731
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",15.205416
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",14.583421
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",9.8
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",11.9
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",11.2
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",13.8
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Kyrgyzstan,мужской,"Per 100,000 population",15.1
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",1.899344
