Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,18.4
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,19.2
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,17.6
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,16.1
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,16.9
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,16.5
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,17.9
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,15.3
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,15.6
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,13.4
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,13.7
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Киргизия,На 100 000 населения,11.0
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,8.3
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,13.7
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,15.8
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,13.0
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,12.6
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,12.8
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,14.6
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,12.0
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,15.8
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,11.0
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,13.6
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Баткенская область,На 100 000 населения,9.0
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,13.2
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,16.7
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,16.5
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,12.9
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,15.2
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,17.5
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,14.6
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,11.8
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,12.7
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,11.1
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,8.6
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Джалал-Абадская область,На 100 000 населения,7.9
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,32.5
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,29.3
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,23.2
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,27.3
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,32.5
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,26.6
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,35.3
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,23.9
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,27.8
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,22.8
