Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Вид экономической деятельности,Units,Value
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1514.8
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1559.6
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1592.9
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1589.7
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1603.9
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1602.8
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1629.1
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1653.0
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1686.4
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1683.0
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1611.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,,На 1000 населения,1686.9
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,928.9
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,936.1
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,983.6
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,993.8
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,999.9
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1008.4
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1044.3
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1040.6
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1077.9
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1095.7
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1074.4
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Мужчины,,,,На 1000 населения,1131.7
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,585.9
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,623.5
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,609.4
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,595.9
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,604.0
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,594.4
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,584.8
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,612.3
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,608.5
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,587.3
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,536.9
