Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,,,Процент,7.7
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,Городская,,,,Процент,7.9
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,Сельская,,,,Процент,7.6
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Баткенская область,Женщины,от 15 до 49 лет ,,,,,Процент,0.4
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Джалал-Абадская область,Женщины,от 15 до 49 лет ,,,,,Процент,7.3
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Иссык-Кульская область,Женщины,от 15 до 49 лет ,,,,,Процент,1.7
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Нарынская область,Женщины,от 15 до 49 лет ,,,,,Процент,2.8
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Ошская область,Женщины,от 15 до 49 лет ,,,,,Процент,6.5
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Таласская область,Женщины,от 15 до 49 лет ,,,,,Процент,50.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Чуйская область,Женщины,от 15 до 49 лет ,,,,,Процент,16.6
