Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,25.6
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,25.6
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,25.6
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,23.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,20.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,20.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,22.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,21.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,21.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,15.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,16.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SG_GEN_PARL,,Женщины,PT,15.8
