Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,27.716013
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,32.316212
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,24.233586
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,90.112821
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,27.924874
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,27.025061
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,38.431743
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,29.216361
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,22.079153
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,24.463597
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,17.014573
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,,Процент,25.028299
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,15.549077
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,13.157949
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,10.590847
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,19.815059
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,10.078654
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,12.820667
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,16.056764
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,15.507042
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,8.391925
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,16.384907
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,13.60476
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Женщины,Процент,14.914402
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,41.775785
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,52.283772
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,38.855636
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,164.348209
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,46.448956
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,42.343954
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,63.293021
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,44.619333
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,37.859348
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,33.692722
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,20.921618
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Киргизия,Мужчины,Процент,36.61573
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,11.184431
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,52.931596
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,25.97515
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,66.960769
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,44.998269
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,44.855428
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,40.545177
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,60.180542
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,5.901968
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,11.837822
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,16.899028
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,Процент,14.249886
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Женщины,Процент,8.934954
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Женщины,Процент,14.155283
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Женщины,Процент,5.608525
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,21.335609
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,93.471383
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,49.829748
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,112.707805
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,86.672445
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,74.059113
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,76.587722
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,131.373162
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,12.854297
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,18.796992
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,37.225462
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,Процент,32.427524
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,57.34356
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,34.763683
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,46.934978
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,41.29774
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,34.63367
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,32.200193
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,35.998247
