Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,94.1
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,95.3
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,95.4
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,96.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,95.1
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,96.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,96.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,95.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,96.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,96.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,93.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,,PT,94.5
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,93.4
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,96.8
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,95.4
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,96.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,96.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,98.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,97.7
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,98.9
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,98.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,98.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,96.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Баткенская область,PT,96.6
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,93.6
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,95.6
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,95.9
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,95.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,94.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,95.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,97.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,94.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,96.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,95.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,93.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Джалал-Абадская область,PT,96.1
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,93.9
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,95.2
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,95.3
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,97.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,93.6
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,96.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,97.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,91.3
