Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,22.4
2008,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,21.4
2009,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,19.6
2010,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,17.4
2011,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,19.9
2012,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,20.2
2013,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,20.8
2014,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,18.5
2015,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,18.9
2016,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,20.0
2017,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,19.4
2018,Годовая,Национальный,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",Киргизия,Процент,21.1
2007,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,10.2
2008,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.8
2009,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.9
2010,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.3
2011,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.9
2012,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,10.6
2013,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,11.3
2014,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.9
2015,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.5
2016,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,8.8
2017,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,9.7
2018,Годовая,Национальный,Доля расходов на здравоохранение в общей сумме государственных расходов,Киргизия,Процент,8.6
2007,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,10.5
2008,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,10.3
2009,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,9.5
2010,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,16.1
2011,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,15.5
2012,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,16.3
2013,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,19.5
2014,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,19.2
2015,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,18.4
2016,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,16.5
2017,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,16.2
2018,Годовая,Национальный,Доля расходов на социальную защиту в общей сумме государственных расходов,Киргизия,Процент,19.1
