Year,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Units,Value
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,35.3
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,31.5
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,29.3
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,26.5
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,24.5
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,23.4
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,23.29
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,23.14
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,21.46
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,19.8
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,18.5
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Киргизия,до 5 лет,На 1000 живорождений,17.6
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,40.3
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,39.7
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,33.7
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,34.34
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,28.7
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,25.9
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,25.75
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,23.61
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,21.75
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,18.8
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,18.6
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Баткенская область,до 5 лет,На 1000 живорождений,14.9
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,30.8
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,26.2
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,24.5
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,21.87
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,20.7
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,19.8
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,20.95
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,21.88
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,21.1
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,19.75
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,17.2
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Джалал-Абадская область,до 5 лет,На 1000 живорождений,15.7
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,28.9
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,28.0
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,24.9
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,22.32
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,24.8
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,24.0
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,19.47
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,16.9
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,18.76
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,17.8
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,15.2
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Иссык-Кульская область,до 5 лет,На 1000 живорождений,14.3
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,33.9
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,30.1
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,28.0
