Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Степень урбанизации,Уровень образования,Unit of measure,Value
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,,Процент,24.4
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,городская местность,,Процент,28.1
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,сельская местность,,Процент,22.2
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,мужской,,,Процент,23.4
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,женский,,,Процент,25.2
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Баткенская область,,,,Процент,11.9
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Жалал-Абад область,,,,Процент,13.1
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Иссык-Кульская область,,,,Процент,8.8
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Нарынская область,,,,Процент,35.3
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Ошская область,,,,Процент,30.7
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Таласская область,,,,Процент,18.4
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Чуйская область,,,,Процент,35.9
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),г. Бишкек,,,,Процент,30.8
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),г. Ош,,,,Процент,23.3
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Начальное образование (1-4 классы),Процент,17.0
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,1- этап среднего образования,Процент,10.8
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,2- этап среднего образования,Процент,18.2
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Послесреднее нетретичное образование,Процент,32.1
2018,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,,Short-cycle tertiary education,Процент,44.1
