Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2007,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.13
2008,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.09
2009,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.29
2010,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.28
2011,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.01
2012,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.28
2013,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.34
2014,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.07
2015,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.06
2016,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.21
2017,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.31
2018,Annual,National,Proportion of population below international poverty line,Kyrgyzstan,Процент,0.28
2007,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.0
2008,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.27
2009,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.0
2010,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.21
2011,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.0
2013,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.0
2014,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.34
2016,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.32
2017,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,1.08
2018,Annual,National,Proportion of population below international poverty line,Баткенская область,Процент,0.45
2007,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.2
2008,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2009,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2010,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.22
2011,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.61
2013,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2014,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2017,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2018,Annual,National,Proportion of population below international poverty line,Жалал-Абад область,Процент,0.0
2007,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.05
2008,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.34
2009,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.58
2010,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.11
2011,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2013,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2014,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2017,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.0
2018,Annual,National,Proportion of population below international poverty line,Иссык-Кульская область,Процент,0.89
2007,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.13
2008,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.63
2009,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.03
2010,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,3.46
2011,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.31
2012,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.0
2013,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.84
2014,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.2
2015,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.74
2016,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.7
2017,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,0.66
2018,Annual,National,Proportion of population below international poverty line,Нарынская область,Процент,1.7
2007,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.33
2008,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.03
2009,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2010,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.09
2011,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2013,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2014,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2017,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2018,Annual,National,Proportion of population below international poverty line,Ошская область,Процент,0.0
2007,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2008,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2009,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2010,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2011,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2013,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2014,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2017,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2018,Annual,National,Proportion of population below international poverty line,Таласская область,Процент,0.0
2007,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.0
2008,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.0
2009,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,1.35
2010,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.16
2011,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,1.09
2013,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.36
2014,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.42
2015,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,1.01
2017,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,1.27
2018,Annual,National,Proportion of population below international poverty line,Чуйская область,Процент,0.32
2007,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2008,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.02
2009,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.27
2010,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2011,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2012,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.03
2013,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,1.55
2014,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2017,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.0
2018,Annual,National,Proportion of population below international poverty line,г. Бишкек,Процент,0.33
2012,Annual,National,Proportion of population below international poverty line,г. Ош,Процент,0.0
2013,Annual,National,Proportion of population below international poverty line,г. Ош,Процент,0.0
2014,Annual,National,Proportion of population below international poverty line,г. Ош,Процент,0.0
2015,Annual,National,Proportion of population below international poverty line,г. Ош,Процент,0.0
2016,Annual,National,Proportion of population below international poverty line,г. Ош,Процент,0.0
