Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,15
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,19
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,13
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,9
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,10
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,11
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,8
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,8
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,7
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,8
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,8
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,,На 100 000 населения,8
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,9
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,14
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,8
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,6
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,4
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,7
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,5
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,3
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,3
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,4
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,4
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Женщины,На 100 000 населения,5
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,22
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,24
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,18
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,12
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,16
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,16
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,12
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,13
