Year,Статус наблюдения,Множитель,Характер данных,Информация об источнике,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,6.1
2008,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,6.5
2009,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,6.6
2010,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,5.7
2011,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,6.8
2012,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.3
2013,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.4
2014,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.4
2015,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.8
2016,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.9
2017,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.7
2018,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_CBK_BRCH,,16 лет и старше ,PER_100000_POP,7.6
2007,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,2.5
2008,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,4.9
2009,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,8.7
2010,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,7.6
2011,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,12.3
2012,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,160.0
2013,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,21.1
2014,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,25.3
2015,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,30.8
2016,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,31.9
2017,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,34.2
2018,Нормальное значение,Единицы,Страновые данные,*according to the NBKR,Годовая,Национальный,FB_ATM_TOTL,,16 лет и старше ,PER_100000_POP,37.7
