Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.089219
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.06383
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.079787
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.068571
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.060241
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.048193
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.068493
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.061224
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.078571
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.078125
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.072
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,AG_PRD_ORTIND,,IX,0.094
