Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2007,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,93
2008,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,281
2009,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,71
2010,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,158
2011,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,140
2012,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,99
2013,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,95
2014,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,62
2015,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,53
2016,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,47
2017,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,141
2018,Годовая,Национальный,VC_DSR_MORT,,,NUMBER,18
2007,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,74
2008,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,184
2009,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,48
2010,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,106
2011,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,93
2012,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,65
2013,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,62
2014,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,39
2015,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,33
2016,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,37
2017,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,85
2018,Годовая,Национальный,VC_DSR_MORT,,Мужчины,NUMBER,14
2007,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,19
2008,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,97
2009,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,23
2010,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,52
2011,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,47
2012,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,34
2013,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,33
2014,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,23
2015,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,20
2016,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,10
2017,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,56
2018,Годовая,Национальный,VC_DSR_MORT,,Женщины,NUMBER,4
2007,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,8
2008,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,9
2010,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,15
2011,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,7
2012,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,9
2013,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,3
2014,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,3
2015,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,1
2016,Годовая,Национальный,VC_DSR_MORT,Баткенская область,,NUMBER,9
2007,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,6
2008,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,9
2010,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,11
2011,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,4
2012,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,7
2013,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,3
2014,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,3
2015,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,1
2016,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Мужчины,NUMBER,7
2007,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Женщины,NUMBER,2
2010,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Женщины,NUMBER,4
2011,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Женщины,NUMBER,3
2012,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Женщины,NUMBER,2
2016,Годовая,Национальный,VC_DSR_MORT,Баткенская область,Женщины,NUMBER,2
2007,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,5
2008,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,25
2009,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,39
2010,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,32
2011,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,35
2012,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,33
2013,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,31
2014,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,17
2015,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,11
2016,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,13
2017,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,43
2018,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,,NUMBER,4
2007,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,5
2008,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,18
2009,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,27
2010,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,21
2011,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,27
2012,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,17
2013,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,22
2014,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,11
2015,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,5
2016,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,9
2017,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,29
2018,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Мужчины,NUMBER,4
2008,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Женщины,NUMBER,7
2009,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Женщины,NUMBER,12
2010,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Женщины,NUMBER,11
2011,Годовая,Национальный,VC_DSR_MORT,Джалал-Абадская область,Женщины,NUMBER,8
