Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Уровень образования,Units,Value
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,9.0
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,9.4
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,9.3
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,9.5
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,10.4
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,10.9
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,10.1
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,10.0
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,5.4
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,6.0
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,5.6
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,5.8
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,6.3
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,6.9
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,6.2
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,6.2
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,12.5
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,12.6
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,12.9
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,13.1
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,14.3
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,14.7
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,13.9
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),PT,13.7
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,13.6
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,20.3
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,21.8
