Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2011,Годовая,Национальный,_L_KG_150101_1,,PT,5.6
2012,Годовая,Национальный,_L_KG_150101_1,,PT,5.6
2013,Годовая,Национальный,_L_KG_150101_1,,PT,5.6
2014,Годовая,Национальный,_L_KG_150101_1,,PT,5.7
2015,Годовая,Национальный,_L_KG_150101_1,,PT,5.7
2016,Годовая,Национальный,_L_KG_150101_1,,PT,5.7
2017,Годовая,Национальный,_L_KG_150101_1,,PT,5.6
2018,Годовая,Национальный,_L_KG_150101_1,,PT,5.6
2011,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,9.8
2012,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,1.0
2013,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,1.0
2014,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,9.8
2015,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,9.8
2016,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,9.8
2017,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,0.8
2018,Годовая,Национальный,_L_KG_150101_1,Баткенская область,PT,0.8
2011,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,4.1
2012,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,2.0
2013,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,2.0
2014,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,12.0
2015,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,12.0
2016,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,12.0
2017,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,2.0
2018,Годовая,Национальный,_L_KG_150101_1,Джалал-Абадская область,PT,1.9
2011,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,3.2
2012,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,0.6
2013,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,0.6
2014,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,3.3
2015,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,3.3
2016,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,3.3
2017,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,0.7
2018,Годовая,Национальный,_L_KG_150101_1,Иссык-Кульская область,PT,0.7
2011,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,3.1
2012,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,0.6
2013,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,0.6
2014,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,3.0
2015,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,3.0
2016,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,3.0
2017,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,0.7
2018,Годовая,Национальный,_L_KG_150101_1,Нарынская область,PT,0.7
2011,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,6.4
2012,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,0.8
2013,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,0.8
2014,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,6.6
2015,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,6.6
2016,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,6.6
2017,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,0.9
2018,Годовая,Национальный,_L_KG_150101_1,Ошская область,PT,0.9
2011,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,4.5
2012,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,0.3
2013,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,0.3
2014,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,4.5
2015,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,4.5
2016,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,4.5
2017,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,0.3
2018,Годовая,Национальный,_L_KG_150101_1,Таласская область,PT,0.3
2011,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,2.2
2012,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,0.2
2013,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,0.2
2014,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,2.3
2015,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,2.3
2016,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,2.3
2017,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,0.2
2018,Годовая,Национальный,_L_KG_150101_1,Чуйская область,PT,0.2
