Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.436866
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.483992
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.495642
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.309687
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.622407
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.838817
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,98.985022
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,99.176724
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,99.230049
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,99.185581
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,99.3
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Киргизия,Процент,99.3
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,97.74409
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,97.474925
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,98.874508
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,96.861772
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,97.13801
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,98.465778
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,99.080933
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,99.356181
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,99.261631
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,98.979592
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,99.2
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Баткенская область,Процент,99.4
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,98.959241
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,98.575021
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,98.923445
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,98.940709
