Year,Статус наблюдения,Множитель,Характер данных,Сноски на уровне наблюдения,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Units,Value
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,,,,PT,12.9
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,,,,PT,11.8
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Баткенская область,,,,,,PT,13.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Баткенская область,,,,,,PT,11.9
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Джалал-Абадская область,,,,,,PT,21.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Джалал-Абадская область,,,,,,PT,15.5
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Иссык-Кульская область,,,,,,PT,14.1
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Иссык-Кульская область,,,,,,PT,14.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Нарынская область,,,,,,PT,16.4
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Нарынская область,,,,,,PT,6.5
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Ошская область,,,,,,PT,10.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Ошская область,,,,,,PT,13.7
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Таласская область,,,,,,PT,11.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Таласская область,,,,,,PT,10.0
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,Чуйская область,,,,,,PT,7.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,Чуйская область,,,,,,PT,10.1
