Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Возраст,Units,Value
2014,Annual,National,Proportion of children moderately or severely wasted (number),Kyrgyzstan,до 5 лет,Процент,2.8
2018,Annual,National,Proportion of children moderately or severely wasted (number),Kyrgyzstan,до 5 лет,Процент,2.0
2014,Annual,National,Proportion of children moderately or severely wasted (number),Баткенская область,до 5 лет,Процент,2.2
2018,Annual,National,Proportion of children moderately or severely wasted (number),Баткенская область,до 5 лет,Процент,2.3
2014,Annual,National,Proportion of children moderately or severely wasted (number),Жалал-Абад область,до 5 лет,Процент,7.9
2018,Annual,National,Proportion of children moderately or severely wasted (number),Жалал-Абад область,до 5 лет,Процент,3.8
2014,Annual,National,Proportion of children moderately or severely wasted (number),Иссык-Кульская область,до 5 лет,Процент,1.7
2018,Annual,National,Proportion of children moderately or severely wasted (number),Иссык-Кульская область,до 5 лет,Процент,2.1
2014,Annual,National,Proportion of children moderately or severely wasted (number),Нарынская область,до 5 лет,Процент,0.5
2018,Annual,National,Proportion of children moderately or severely wasted (number),Нарынская область,до 5 лет,Процент,1.1
2014,Annual,National,Proportion of children moderately or severely wasted (number),Ошская область,до 5 лет,Процент,1.1
2018,Annual,National,Proportion of children moderately or severely wasted (number),Ошская область,до 5 лет,Процент,1.6
2014,Annual,National,Proportion of children moderately or severely wasted (number),Таласская область,до 5 лет,Процент,1.0
2018,Annual,National,Proportion of children moderately or severely wasted (number),Таласская область,до 5 лет,Процент,2.9
2014,Annual,National,Proportion of children moderately or severely wasted (number),Чуйская область,до 5 лет,Процент,1.5
2018,Annual,National,Proportion of children moderately or severely wasted (number),Чуйская область,до 5 лет,Процент,1.5
2014,Annual,National,Proportion of children moderately or severely wasted (number),г. Бишкек,до 5 лет,Процент,2.1
2018,Annual,National,Proportion of children moderately or severely wasted (number),г. Бишкек,до 5 лет,Процент,0.6
2014,Annual,National,Proportion of children moderately or severely wasted (number),г. Ош,до 5 лет,Процент,2.4
2018,Annual,National,Proportion of children moderately or severely wasted (number),г. Ош,до 5 лет,Процент,1.8
2014,Annual,National,Proportion of children moderately or severely overweight,Kyrgyzstan,до 5 лет,Процент,7.0
2018,Annual,National,Proportion of children moderately or severely overweight,Kyrgyzstan,до 5 лет,Процент,6.9
2014,Annual,National,Proportion of children moderately or severely overweight,Баткенская область,до 5 лет,Процент,3.4
2018,Annual,National,Proportion of children moderately or severely overweight,Баткенская область,до 5 лет,Процент,6.9
2014,Annual,National,Proportion of children moderately or severely overweight,Жалал-Абад область,до 5 лет,Процент,8.7
2018,Annual,National,Proportion of children moderately or severely overweight,Жалал-Абад область,до 5 лет,Процент,8.9
2014,Annual,National,Proportion of children moderately or severely overweight,Иссык-Кульская область,до 5 лет,Процент,7.8
2018,Annual,National,Proportion of children moderately or severely overweight,Иссык-Кульская область,до 5 лет,Процент,4.6
2014,Annual,National,Proportion of children moderately or severely overweight,Нарынская область,до 5 лет,Процент,6.2
2018,Annual,National,Proportion of children moderately or severely overweight,Нарынская область,до 5 лет,Процент,4.4
2014,Annual,National,Proportion of children moderately or severely overweight,Ошская область,до 5 лет,Процент,4.7
2018,Annual,National,Proportion of children moderately or severely overweight,Ошская область,до 5 лет,Процент,5.3
2014,Annual,National,Proportion of children moderately or severely overweight,Таласская область,до 5 лет,Процент,7.3
2018,Annual,National,Proportion of children moderately or severely overweight,Таласская область,до 5 лет,Процент,2.9
2014,Annual,National,Proportion of children moderately or severely overweight,Чуйская область,до 5 лет,Процент,9.0
2018,Annual,National,Proportion of children moderately or severely overweight,Чуйская область,до 5 лет,Процент,11.7
2014,Annual,National,Proportion of children moderately or severely overweight,г. Бишкек,до 5 лет,Процент,9.5
2018,Annual,National,Proportion of children moderately or severely overweight,г. Бишкек,до 5 лет,Процент,7.4
2014,Annual,National,Proportion of children moderately or severely overweight,г. Ош,до 5 лет,Процент,4.3
2018,Annual,National,Proportion of children moderately or severely overweight,г. Ош,до 5 лет,Процент,3.3
