Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,,,Процент,7.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,Городская,,,,Процент,7.9
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,Сельская,,,,Процент,7.6
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Баткенская область,Женщины,,,,,,Процент,0.4
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Джалал-Абадская область,Женщины,,,,,,Процент,7.3
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Иссык-Кульская область,Женщины,,,,,,Процент,1.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Нарынская область,Женщины,,,,,,Процент,2.8
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Ошская область,Женщины,,,,,,Процент,6.5
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Таласская область,Женщины,,,,,,Процент,5.0
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Чуйская область,Женщины,,,,,,Процент,16.6
