Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,19.5
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,18.6
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,18.6
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,18.5
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,19.0
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,18.5
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,17.9
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,17.3
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,17.1
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,16.6
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,16.8
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Процент,16.6
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,2.109664
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.934128
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.92383
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.874444
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.930035
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.845624
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.795079
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.762407
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.659097
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.495586
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.484306
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Баткенская область,Процент,1.525503
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.616846
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.193013
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.11681
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.091247
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.27976
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.13553
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,4.101223
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,3.951307
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,3.864138
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,3.746523
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,3.792716
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Жалал-Абад область,Процент,3.804116
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.504927
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.39314
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.390619
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.43283
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.496891
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.460728
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.410681
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.397339
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.366613
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.391437
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.400236
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Иссык-Кульская область,Процент,1.390469
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.671366
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.457214
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.423568
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.503572
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.575064
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.53011
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.430693
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.366601
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.342043
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.284926
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.288293
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Нарынская область,Процент,1.232146
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.940158
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.693844
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.778368
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.700996
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.715643
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.506557
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.296044
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.013868
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,4.015779
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,3.788525
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,3.868011
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Ошская область,Процент,3.639299
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.73051
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.843038
