Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,73.7
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,77.0
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,64.8
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,67.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,68.1
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,73.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,71.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,69.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,65.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,71.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,69.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,GC_GOB_TAXD,,PT,76.9
