Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2007,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,35.0
2008,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,31.7
2009,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,31.7
2010,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,33.7
2011,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,36.8
2012,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,38.0
2013,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,37.0
2014,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,30.6
2015,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,32.1
2016,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,25.4
2017,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,25.6
2018,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,,Процент,22.4
2007,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,34.7
2008,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,31.4
2009,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,30.7
2010,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,32.7
2011,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,36.1
2012,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,37.2
2013,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,36.5
2014,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,29.7
2015,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,31.5
2016,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,25.0
2017,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,25.0
2018,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,мужской,Процент,22.5
2007,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,35.4
2008,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,32.1
2009,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,32.9
2010,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,34.8
2011,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,37.6
2012,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,39.0
2013,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,37.5
2014,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,31.5
2015,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,32.7
2016,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,25.7
2017,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,26.3
2018,Annual,National,Proportion of population living below the national poverty line,Kyrgyzstan,женский,Процент,22.2
2007,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,40.40248
2008,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,20.74156
2009,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,31.472533
2010,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,33.595652
2011,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,35.637925
2012,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,34.23528
2013,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,53.85581
2014,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,40.719692
2015,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,41.156483
2016,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,37.049867
2017,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,40.51893
2018,Annual,National,Proportion of population living below the national poverty line,Баткенская область,,Процент,33.773947
2007,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,41.298197
2008,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,22.400607
2009,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,31.273921
2010,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,31.928278
2011,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,34.181401
