Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,4.3
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,4.0
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,3.2
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,2.5
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,3.2
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,2.8
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,1.8
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,1.7
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,1.9
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,1.3
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,1.2
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Киргизия,На 100 000 населения,0.8
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,11.4
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,11.5
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,8.1
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,7.8
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,11.0
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,5.3
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,6.7
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,7.6
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,5.3
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,3.6
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,3.1
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Баткенская область,На 100 000 населения,1.5
