Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,10.5
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,10.8
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,9.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,9.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,8.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,7.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,6.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,6.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,7.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,6.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,5.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,6.3
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.8
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.2
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.3
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.4
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.4
