Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,94.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,95.3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,95.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,96.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,95.1
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,96.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,96.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,95.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,96.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,96.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,93.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG,CL_UNIT_MEASURE.PT,94.5
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,93.4
