Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.4
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,1.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,1.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,2.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B1,CL_AREA.KG,CL_UNIT_MEASURE.PT,1.7
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.7
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,9.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,11.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,12.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,10.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,8.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,6.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,7.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,8.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,8.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060101_2B2,CL_AREA.KG,CL_UNIT_MEASURE.PT,8.2
