Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,86.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,80.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,81.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,80.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,78.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,88.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,13.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,19.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,18.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,20.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,21.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_T,CL_UNIT_MEASURE.PT,11.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,29.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,24.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,29.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,32.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,24.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,41.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,70.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,75.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,70.8
