Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,51.9
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,55.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,63.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,51.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,54.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,49.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,36.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,50.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,38.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,30.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,31.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,28.6
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,74.8
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_LIVE_BIRTHS,66.6
