Year,FREQ,REPORTING_TYPE,Series,REF_AREA,PRODUCT,Units,Value
2010,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,63.132137
2011,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,63.132137
2012,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,60.195759
2013,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,55.138662
2014,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,56.443719
2015,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,64.600326
2016,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,63.132137
2017,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,62.805873
2018,A,N,_L_KG_020101_1E,,_L_AGG_MEATS,PT,65.742251
2010,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,106.2
2011,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,106.5
2012,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,105.75
2013,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,107.5
2014,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,107.8
2015,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,113.15
2016,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,112.25
2017,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,111.65
2018,A,N,_L_KG_020101_1E,,_L_AGG_DAIRY,PT,109.4
2010,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,43.506849
2011,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,45.041096
2012,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,44.273973
2013,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,45.479452
2014,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,44.767123
2015,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,47.287671
2016,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,43.835616
2017,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,47.123288
2018,A,N,_L_KG_020101_1E,,_L_AGG_EGGS,PT,47.342466
2010,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,83.203125
2011,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,83.59375
2012,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,78.125
2013,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,82.03125
2014,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,76.953125
2015,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,71.875
2016,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,85.9375
2017,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,89.0625
2018,A,N,_L_KG_020101_1E,,_L_AGG_SUGAR,PT,115.234375
2010,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,131.393493
2011,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,129.24425
2012,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,118.291347
2013,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,136.911281
2014,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,139.101862
2015,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,140.197152
2016,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,116.100767
2017,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,112.814896
2018,A,N,_L_KG_020101_1E,,_L_AGG_VEGOILS,PT,104.052574
2010,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,98.181818
2011,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,99.494949
2012,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,99.393939
2013,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,99.494949
2014,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,99.494949
2015,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,108.282828
2016,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,108.282828
2017,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,107.7
2018,A,N,_L_KG_020101_1E,,_L_AGG_POTATO,PT,141.4
2010,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,131.3
2011,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,131.2
2012,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,131.052632
2013,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,130.701754
2014,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,131.578947
2015,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,139.473684
2016,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,141.403509
2017,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,153.0
2018,A,N,_L_KG_020101_1E,,_L_AGG_VEGS_GOURDS,PT,159.3
2010,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,24.193548
2011,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,23.225806
2012,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,19.274194
2013,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,21.612903
2014,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,23.467742
2015,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,25.16129
2016,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,34.919355
2017,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,34.5
2018,A,N,_L_KG_020101_1E,,_L_AGG_FRUITS_BERRIES,PT,27.0
2010,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,146.666259
2011,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,146.492793
2012,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,145.712192
2013,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,147.44686
2014,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,147.44686
