Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.OCCUPATION,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.1
