Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Units,Value
2014,A,N,SH_STA_STNT,KG,,,,,,PT,12.9
2018,A,N,SH_STA_STNT,KG,,,,,,PT,11.8
2014,A,N,SH_STA_STNT,KG05,,,,,,PT,13.6
2018,A,N,SH_STA_STNT,KG05,,,,,,PT,11.9
2014,A,N,SH_STA_STNT,KG03,,,,,,PT,21.3
2018,A,N,SH_STA_STNT,KG03,,,,,,PT,15.5
2014,A,N,SH_STA_STNT,KG02,,,,,,PT,14.1
2018,A,N,SH_STA_STNT,KG02,,,,,,PT,14.2
2014,A,N,SH_STA_STNT,KG04,,,,,,PT,16.4
2018,A,N,SH_STA_STNT,KG04,,,,,,PT,6.5
2014,A,N,SH_STA_STNT,KG06,,,,,,PT,10.6
2018,A,N,SH_STA_STNT,KG06,,,,,,PT,13.7
2014,A,N,SH_STA_STNT,KG07,,,,,,PT,11.0
2018,A,N,SH_STA_STNT,KG07,,,,,,PT,10.0
2014,A,N,SH_STA_STNT,KG08,,,,,,PT,7.6
2018,A,N,SH_STA_STNT,KG08,,,,,,PT,10.1
2014,A,N,SH_STA_STNT,KG11,,,,,,PT,7.6
2018,A,N,SH_STA_STNT,KG11,,,,,,PT,5.9
2014,A,N,SH_STA_STNT,KG21,,,,,,PT,12.1
2018,A,N,SH_STA_STNT,KG21,,,,,,PT,10.9
2014,A,N,SH_STA_STNT,KG,M,,,,,PT,13.8
2018,A,N,SH_STA_STNT,KG,M,,,,,PT,12.5
2014,A,N,SH_STA_STNT,KG,F,,,,,PT,12.0
2018,A,N,SH_STA_STNT,KG,F,,,,,PT,10.9
2014,A,N,SH_STA_STNT,KG,,,U,,,PT,11.8
2018,A,N,SH_STA_STNT,KG,,,U,,,PT,8.8
2014,A,N,SH_STA_STNT,KG,,,R,,,PT,13.4
2018,A,N,SH_STA_STNT,KG,,,R,,,PT,13.1
2014,A,N,SH_STA_STNT,KG,,M0T5,,,,PT,5.3
2018,A,N,SH_STA_STNT,KG,,M0T5,,,,PT,5.4
2014,A,N,SH_STA_STNT,KG,,M6T11,,,,PT,7.2
2018,A,N,SH_STA_STNT,KG,,M6T11,,,,PT,9.3
2014,A,N,SH_STA_STNT,KG,,M12T17,,,,PT,11.2
2018,A,N,SH_STA_STNT,KG,,M12T17,,,,PT,12.1
2014,A,N,SH_STA_STNT,KG,,M18T23,,,,PT,18.2
2018,A,N,SH_STA_STNT,KG,,M18T23,,,,PT,17.2
2014,A,N,SH_STA_STNT,KG,,M24T35,,,,PT,18.6
2018,A,N,SH_STA_STNT,KG,,M24T35,,,,PT,13.2
2014,A,N,SH_STA_STNT,KG,,M36T47,,,,PT,14.6
2018,A,N,SH_STA_STNT,KG,,M36T47,,,,PT,11.2
2014,A,N,SH_STA_STNT,KG,,M48T59,,,,PT,10.5
2018,A,N,SH_STA_STNT,KG,,M48T59,,,,PT,12.7
2014,A,N,SH_STA_STNT,KG,,,,,ISCED11_1,PT,26.5
2014,A,N,SH_STA_STNT,KG,,,,,ISCED11_2,PT,17.1
2018,A,N,SH_STA_STNT,KG,,,,,ISCED11_2,PT,14.8
2014,A,N,SH_STA_STNT,KG,,,,,ISCED11_3,PT,13.5
2018,A,N,SH_STA_STNT,KG,,,,,ISCED11_3,PT,12.0
2014,A,N,SH_STA_STNT,KG,,,,,ISCED11_4,PT,11.8
2018,A,N,SH_STA_STNT,KG,,,,,ISCED11_4,PT,12.2
2014,A,N,SH_STA_STNT,KG,,,,,ISCED11_5,PT,9.8
2018,A,N,SH_STA_STNT,KG,,,,,ISCED11_5,PT,10.0
2014,A,N,SH_STA_STNT,KG,,,,Q1,,PT,17.7
2018,A,N,SH_STA_STNT,KG,,,,Q1,,PT,14.0
2014,A,N,SH_STA_STNT,KG,,,,Q2,,PT,14.2
2018,A,N,SH_STA_STNT,KG,,,,Q2,,PT,13.8
2014,A,N,SH_STA_STNT,KG,,,,Q3,,PT,10.1
2018,A,N,SH_STA_STNT,KG,,,,Q3,,PT,12.0
2014,A,N,SH_STA_STNT,KG,,,,Q4,,PT,10.7
2018,A,N,SH_STA_STNT,KG,,,,Q4,,PT,8.2
2014,A,N,SH_STA_STNT,KG,,,,Q5,,PT,10.7
2018,A,N,SH_STA_STNT,KG,,,,Q5,,PT,9.2
