Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.AGE,Units,Value
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,8.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,10.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,24.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,11.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,12.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,51.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,55.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,74.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,75.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_PRE_PARTN,CL_AREA.KG,CL_AGE.Y0T5,CL_UNIT_MEASURE.PT,84.9
