Year,Frequency of observation,Reporting type,SDG Series,Reference area,Sex,Degree of urbanisation,Unit of measure,Value
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Percent,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Percent,2.3
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Percent,2.4
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Percent,2.6
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Urban,Percent,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Urban,Percent,0.8
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Urban,Percent,0.8
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Urban,Percent,1.0
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Rural,Percent,1.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Rural,Percent,3.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Rural,Percent,3.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,Rural,Percent,3.5
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,Percent,1.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,Percent,2.3
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,Percent,2.5
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,Percent,2.7
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,Percent,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,Percent,2.2
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,Percent,2.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,Percent,2.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,Percent,3.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,Percent,7.4
2018,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,Percent,8.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,Percent,1.3
2017,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,Percent,1.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,Percent,3.4
2016,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,Percent,1.8
2017,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,Percent,3.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,Percent,3.9
2016,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,Percent,5.6
2017,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,Percent,5.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,Percent,6.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,Percent,2.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,Percent,0.6
2018,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,Percent,0.7
2016,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,Percent,0.6
2017,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,Percent,0.6
2018,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,Percent,2.4
2016,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,Percent,6.2
2017,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,Percent,5.1
2018,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,Percent,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,Percent,0.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,Percent,0.7
2018,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,Percent,0.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,Percent,0.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,Percent,1.2
2018,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,Percent,2.5
