Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.COMPOSITE_BREAKDOWN,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTCMFL,CL_UNIT_MEASURE.PT,23.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTCPT,CL_UNIT_MEASURE.PT,23.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTATCH,CL_UNIT_MEASURE.PT,21.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTSSHT,CL_UNIT_MEASURE.PT,13.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTCDV,CL_UNIT_MEASURE.PT,7.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTSFWR,CL_UNIT_MEASURE.PT,7.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTPST,CL_UNIT_MEASURE.PT,13.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTTRFF,CL_UNIT_MEASURE.PT,12.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTPRGM,CL_UNIT_MEASURE.PT,3.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTCMFL,CL_UNIT_MEASURE.PT,17.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTCPT,CL_UNIT_MEASURE.PT,16.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTATCH,CL_UNIT_MEASURE.PT,15.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTSSHT,CL_UNIT_MEASURE.PT,9.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTCDV,CL_UNIT_MEASURE.PT,6.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTSFWR,CL_UNIT_MEASURE.PT,5.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTPST,CL_UNIT_MEASURE.PT,8.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTTRFF,CL_UNIT_MEASURE.PT,8.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_ADT_ACTS,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTPRGM,CL_UNIT_MEASURE.PT,2.0
