Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,93
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,281
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,71
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,158
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,140
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,99
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,95
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,62
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,53
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,47
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,141
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,,CL_UNIT_MEASURE.NUMBER,18
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,74
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,184
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,48
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,106
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,93
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,65
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,62
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,39
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,33
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,37
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,85
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,14
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,19
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,97
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,23
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,52
