Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,42.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,67.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG05,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,45.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG05,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,48.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG03,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,31.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG03,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,56.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG02,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,46.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG02,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,65.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG04,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,58.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG04,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,79.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG06,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,38.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG06,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,71.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG07,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,43.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG07,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,79.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG08,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,47.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG08,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,70.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG11,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,47.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG11,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,69.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG21,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,38.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG21,CL_SEX.F,,,,,,CL_UNIT_MEASURE.PT,71.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,CL_URBANISATION.U,,,,CL_UNIT_MEASURE.PT,43.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,CL_URBANISATION.U,,,,CL_UNIT_MEASURE.PT,68.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,CL_URBANISATION.R,,,,CL_UNIT_MEASURE.PT,41.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,CL_URBANISATION.R,,,,CL_UNIT_MEASURE.PT,66.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T19,,,,,CL_UNIT_MEASURE.PT,17.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y15T19,,,,,CL_UNIT_MEASURE.PT,31.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,,,,CL_UNIT_MEASURE.PT,28.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,,,,CL_UNIT_MEASURE.PT,53.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y25T29,,,,,CL_UNIT_MEASURE.PT,39.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y25T29,,,,,CL_UNIT_MEASURE.PT,59.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y30T34,,,,,CL_UNIT_MEASURE.PT,50.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y30T34,,,,,CL_UNIT_MEASURE.PT,76.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y35T39,,,,,CL_UNIT_MEASURE.PT,57.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y35T39,,,,,CL_UNIT_MEASURE.PT,74.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y40T44,,,,,CL_UNIT_MEASURE.PT,52.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y40T44,,,,,CL_UNIT_MEASURE.PT,68.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y45T49,,,,,CL_UNIT_MEASURE.PT,29.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,CL_AGE.Y45T49,,,,,CL_UNIT_MEASURE.PT,66.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_1,,CL_UNIT_MEASURE.PT,20.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_2,,CL_UNIT_MEASURE.PT,36.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_2,,CL_UNIT_MEASURE.PT,67.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_3,,CL_UNIT_MEASURE.PT,42.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_3,,CL_UNIT_MEASURE.PT,62.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_4,,CL_UNIT_MEASURE.PT,43.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_4,,CL_UNIT_MEASURE.PT,66.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_5,,CL_UNIT_MEASURE.PT,43.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,CL_EDUCATION_LEV.ISCED11_5,,CL_UNIT_MEASURE.PT,74.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,,CL_DISABILITY.PD,CL_UNIT_MEASURE.PT,81.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,,,CL_DISABILITY.PWD,CL_UNIT_MEASURE.PT,67.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q1,,,CL_UNIT_MEASURE.PT,42.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q1,,,CL_UNIT_MEASURE.PT,66.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q2,,,CL_UNIT_MEASURE.PT,37.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q2,,,CL_UNIT_MEASURE.PT,60.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q3,,,CL_UNIT_MEASURE.PT,39.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q3,,,CL_UNIT_MEASURE.PT,69.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q4,,,CL_UNIT_MEASURE.PT,45.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q4,,,CL_UNIT_MEASURE.PT,69.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q5,,,CL_UNIT_MEASURE.PT,45.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_FPL_MTMM,CL_AREA.KG,CL_SEX.F,,,CL_QUANTILE.Q5,,,CL_UNIT_MEASURE.PT,71.4
