Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,4.3
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,4.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,3.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,2.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,3.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,2.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,1.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,1.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,1.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,1.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,1.2
