Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Age,Degree of urbanisation,Units,Value
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,17.5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,19.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,19.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,22.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,23.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,24.6
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,,PT,25.4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,31.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,32.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,31.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,32.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,34.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,34.6
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Urban,PT,34.5
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,10.8
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,13.2
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,14.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,16.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,17.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,19.3
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,,1 to 6 years old,Rural,PT,20.6
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,16.1
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,19.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,20.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,23.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,25.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,26.3
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,,PT,28.5
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,33.3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,33.1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,30.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,32.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,33.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,34.0
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Urban,PT,42.7
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,10.2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,14.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,16.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,20.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,23.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,23.3
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Batken,1 to 6 years old,Rural,PT,23.8
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,15.2
