Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,4.0
2008,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,4.6
2009,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,6.9
2010,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,6.8
2011,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,6.2
2012,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,6.7
2013,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,7.2
2014,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,6.8
2015,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,7.6
2016,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,12.2
2017,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,11.3
2018,Normal value,Units,Country Data,Annual,National,DT_TDS_DECT,,PT,13.0
