Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,Series,Reference area,Age,Units,Value
2007,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,6.1
2008,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,6.5
2009,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,6.6
2010,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,5.7
2011,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,6.8
2012,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.3
2013,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.4
2014,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.4
2015,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.8
2016,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.9
2017,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.7
2018,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_CBK_BRCH,,16 years old and over,PER_100000_POP,7.6
2007,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,2.5
2008,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,4.9
2009,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,8.7
2010,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,7.6
2011,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,12.3
2012,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,160.0
2013,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,21.1
2014,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,25.3
2015,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,30.8
2016,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,31.9
2017,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,34.2
2018,Normal value,Units,Country Data,*according to the NBKR,Annual,National,FB_ATM_TOTL,,16 years old and over,PER_100000_POP,37.7
