Year,Frequency of observation,Reporting type,SDG Series,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Unit of measure,Value
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,,Percent,19.2
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,Urban,,,Percent,47.2
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,Rural,,,Percent,3.2
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Primary education,Percent,6.8
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Lower secondary education,Percent,10.5
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Upper secondary education,Percent,11.4
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Post-secondary non-tertiary education,Percent,19.7
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Short-cycle tertiary education,Percent,38.9
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 1 (poorest),,Percent,10.0
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 2,,Percent,2.6
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 3,,Percent,6.1
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 4,,Percent,9.3
2018,Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 5 (richest),,Percent,76.9
