Year,Frequency of observation,Reporting type,SDG Series,Reference area,Unit of measure,Value
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.102468
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.6574220000000001
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.037073
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.23456100000000002
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.32864899999999997
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.297902
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.062089
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.113728
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.532092
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.21124
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.193675
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.21801700000000002
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.358951
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,2.126272
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.40389899999999995
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.333138
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,4.307812
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,1.9565740000000003
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.029689999999999998
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.25113
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,3.438047
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,2.2105
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.753563
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,1.04
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.41211800000000004
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.136994
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.015857
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,1.154719
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.45326400000000006
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,1.016425
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.101309
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.072479
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.172868
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.441517
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.196222
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.11
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.003239
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.003293
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.034457
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.0016920000000000001
