Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Composite breakdown,Units,Value
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,2331
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,2083
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,2050
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1833
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1813
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,2178
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,2406
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1920
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1708
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1453
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1254
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1469
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1464
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,,NUMBER,1622
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,295
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,151
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,154
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,168
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,94
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,85
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,226
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,157
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,55
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,80
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,80
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,84
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,99
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: material difficulty,NUMBER,104
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,86
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,128
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,116
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,74
