Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,106.9
2008,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,108.3
2009,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,102.4
2010,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,98.4
2011,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,104.3
2012,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,98.8
2013,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,111.3
2014,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,101.4
2015,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,101.8
2016,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,105.7
2017,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,105.4
2018,Normal value,Units,Country Data,Annual,National,SL_EMP_PCAP,,PT,103.6
