Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,13.4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,8.5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,7.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,6.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,7.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,4.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,,PER_100000_POP,4.5
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,1.7
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,0.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,1.1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,0.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,0.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,0.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Female,PER_100000_POP,0.4
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,25.3
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,16.8
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,14.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,13.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,14.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,8.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,,Male,PER_100000_POP,8.8
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,1.6
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,1.5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,1.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,1.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,2.2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,0.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,,PER_100000_POP,0.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Female,PER_100000_POP,0.4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Female,PER_100000_POP,0.0
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,3.1
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,3.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,2.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,2.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,3.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,1.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Batken,Male,PER_100000_POP,0.8
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Jalal-Abad,,PER_100000_POP,5.2
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Jalal-Abad,,PER_100000_POP,3.2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Jalal-Abad,,PER_100000_POP,2.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Jalal-Abad,,PER_100000_POP,1.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Jalal-Abad,,PER_100000_POP,2.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030501_1,Jalal-Abad,,PER_100000_POP,1.9
