Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Units,Value
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,8.6
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,8.3
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,8.0
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,7.6
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,7.2
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,6.9
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,,PT,6.2
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,9.9
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,9.7
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,9.5
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,9.0
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,8.7
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,8.9
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,Male,,PT,6.9
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,7.7
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,7.4
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,7.0
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,6.5
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,6.2
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,5.6
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,Female,,PT,5.7
2010,Annual,National,SL_TLF_UEM,Batken,,,PT,10.6
2013,Annual,National,SL_TLF_UEM,Batken,,,PT,12.7
2014,Annual,National,SL_TLF_UEM,Batken,,,PT,12.6
2015,Annual,National,SL_TLF_UEM,Batken,,,PT,10.9
2016,Annual,National,SL_TLF_UEM,Batken,,,PT,10.2
2017,Annual,National,SL_TLF_UEM,Batken,,,PT,9.9
2018,Annual,National,SL_TLF_UEM,Batken,,,PT,9.0
2010,Annual,National,SL_TLF_UEM,Batken,Male,,PT,15.8
2013,Annual,National,SL_TLF_UEM,Batken,Male,,PT,18.4
2014,Annual,National,SL_TLF_UEM,Batken,Male,,PT,18.7
2015,Annual,National,SL_TLF_UEM,Batken,Male,,PT,16.5
