Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2010,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,7.8
2011,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,7.6
2012,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,7.6
2013,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,6.9
2014,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,6.9
2015,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,7.4
2016,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,7.6
2017,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,10.1
2018,Annual,National,SL_TLF_MANF,Kyrgyzstan,,PT,12.0
2010,Annual,National,SL_TLF_MANF,Batken,,PT,6.4
2011,Annual,National,SL_TLF_MANF,Batken,,PT,6.4
2012,Annual,National,SL_TLF_MANF,Batken,,PT,5.7
2013,Annual,National,SL_TLF_MANF,Batken,,PT,3.1
2014,Annual,National,SL_TLF_MANF,Batken,,PT,3.0
2015,Annual,National,SL_TLF_MANF,Batken,,PT,2.3
2016,Annual,National,SL_TLF_MANF,Batken,,PT,2.4
2017,Annual,National,SL_TLF_MANF,Batken,,PT,4.5
2018,Annual,National,SL_TLF_MANF,Batken,,PT,6.9
2010,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,3.1
2011,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,3.3
2012,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,4.3
2013,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,5.1
2014,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,5.3
2015,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,5.5
2016,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,5.4
2017,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,8.9
2018,Annual,National,SL_TLF_MANF,Jalal-Abad,,PT,15.3
2010,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,3.2
2011,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,3.7
2012,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,4.1
2013,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,4.1
2014,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,4.2
2015,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,4.7
2016,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,5.3
2017,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,6.4
2018,Annual,National,SL_TLF_MANF,Issyk-Kul,,PT,8.2
2010,Annual,National,SL_TLF_MANF,Naryn,,PT,2.4
2011,Annual,National,SL_TLF_MANF,Naryn,,PT,1.6
