Year,Frequency of observation,Reporting type,SDG Series,Reference area,Degree of urbanisation,Unit of measure,Value
2000,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,60.521725
2001,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,77.154938
2002,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,51.354687
2003,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,55.244615
2004,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,48.2
2005,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,49.472402
2006,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,47.554171999999994
2007,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,48.479985
2008,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,45.156055
2009,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,40.667524
2010,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,42.315954
2011,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,44.70876
2012,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,51.004239
2013,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,48.629898
2014,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,47.932099
2015,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,50.982902
2016,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,45.6165
2017,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,50.0267
2018,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,46.4
2000,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,69.47274200000001
2001,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,84.06804
2002,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,67.70017299999999
2003,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,59.23848
2004,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,49.4
2005,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,52.267834
2006,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,46.086276
2007,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,46.663125
2008,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,45.363642
2009,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,38.386768
2010,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,44.47285
2011,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,51.442437
2012,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,60.754126
2013,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,48.726107
2014,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,53.02
2015,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,58.534524
2016,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,48.6979
2017,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,55.5006
2018,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,51.6
2000,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,55.809151
2001,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,73.45241800000001
2002,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,42.634369
2003,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,53.09216899999999
2004,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,48.1
2005,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,47.848938000000004
2006,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,48.420365999999994
2007,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,49.514891
2008,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,45.039446000000005
2009,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,41.917619
2010,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,41.073296
2011,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,40.705385
2012,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,45.363875
2013,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,48.57992
2014,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,45.06
2015,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,46.84518
2016,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,43.9253
2017,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,47.0111
2018,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,43.5
2000,Annual,National,Prevalence of undernourishment,Batken,,Percent,59.339716
2001,Annual,National,Prevalence of undernourishment,Batken,,Percent,61.621051
2002,Annual,National,Prevalence of undernourishment,Batken,,Percent,36.961393
2003,Annual,National,Prevalence of undernourishment,Batken,,Percent,42.329001
2004,Annual,National,Prevalence of undernourishment,Batken,,Percent,37.049508
2005,Annual,National,Prevalence of undernourishment,Batken,,Percent,53.54665
2006,Annual,National,Prevalence of undernourishment,Batken,,Percent,47.900712
2007,Annual,National,Prevalence of undernourishment,Batken,,Percent,30.186768
2008,Annual,National,Prevalence of undernourishment,Batken,,Percent,37.443818
2009,Annual,National,Prevalence of undernourishment,Batken,,Percent,48.591583
2010,Annual,National,Prevalence of undernourishment,Batken,,Percent,42.666903000000005
2011,Annual,National,Prevalence of undernourishment,Batken,,Percent,44.064464
2012,Annual,National,Prevalence of undernourishment,Batken,,Percent,50.49106
2013,Annual,National,Prevalence of undernourishment,Batken,,Percent,62.932382
2014,Annual,National,Prevalence of undernourishment,Batken,,Percent,53.566019999999995
2015,Annual,National,Prevalence of undernourishment,Batken,,Percent,49.799251
2016,Annual,National,Prevalence of undernourishment,Batken,,Percent,52.9718
2017,Annual,National,Prevalence of undernourishment,Batken,,Percent,52.4614
2018,Annual,National,Prevalence of undernourishment,Batken,,Percent,54.6
2000,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,59.287149
2001,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,81.005572
2002,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,42.498121999999995
2003,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,57.011499
2004,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,51.655713
2005,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,61.433801
2006,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,52.669155
2007,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,61.23400899999999
2008,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,51.475346
2009,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,34.357172
2010,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,45.552551
2011,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,41.458589
