Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Units,Value
2007,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,16.7
2008,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,17.0
2009,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,17.8
2010,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,18.3
2011,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,17.4
2012,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,17.7
2013,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,22.1
2014,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,20.7
2015,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,21.4
2016,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,20.4
2017,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,21.0
2018,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,,15 to 24 years old,PT,20.5
2007,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,10.7
2008,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,12.8
2009,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,12.3
2010,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,11.5
2011,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,9.7
2012,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,10.1
2013,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,14.3
2014,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,12.5
2015,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,13.6
2016,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,12.1
2017,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,12.3
2018,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Male,15 to 24 years old,PT,12.0
2007,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,22.8
2008,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,21.3
2009,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,23.5
2010,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,25.2
2011,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,25.2
2012,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,25.5
2013,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,30.0
2014,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,29.2
2015,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,29.5
2016,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,29.0
2017,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,30.1
2018,Normal value,Units,Country Data,Annual,National,SL_TLF_NEET,,Female,15 to 24 years old,PT,29.4
