Year,Frequency of observation,Reporting type,SDG Series,Reference area,Unit of measure,Value
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,19.5
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,18.6
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,18.6
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,18.5
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,19.0
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,18.5
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,17.9
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,17.3
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,17.1
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,16.6
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,16.8
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Kyrgyzstan,Percent,16.6
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,2.109664
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.9341279999999998
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.92383
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.8744439999999998
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.930035
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.8456240000000002
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.795079
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.762407
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.659097
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.495586
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.484306
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Batken,Percent,1.525503
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.616846
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.193013
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.11681
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.091247
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.27976
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.13553
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,4.101223
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,3.951307
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,3.8641379999999996
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,3.7465230000000003
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,3.7927160000000004
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Jalal-Abad,Percent,3.8041160000000005
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.5049270000000001
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.39314
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.390619
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.4328299999999998
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.496891
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Issyk-Kul,Percent,1.460728
