Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.6
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.6
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.7
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,,PT,5.6
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,9.8
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,1.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,1.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,9.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,9.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,9.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,0.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Batken,PT,0.8
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,4.1
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,2.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,2.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,12.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,12.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,12.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,2.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Jalal-Abad,PT,1.9
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,3.2
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,0.6
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,0.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,3.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,3.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,3.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,0.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Issyk-Kul,PT,0.7
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,3.1
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,0.6
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,0.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,3.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,3.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,3.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,0.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Naryn,PT,0.7
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,6.4
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,0.8
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,0.8
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,6.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,6.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,6.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,0.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Osh,PT,0.9
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,4.5
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,0.3
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,0.3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,4.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,4.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,4.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,0.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Talas,PT,0.3
2011,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,2.2
2012,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,0.2
2013,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,0.2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,2.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,2.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,2.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,0.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_150101_1,Chui,PT,0.2
