Year,Frequency of observation,Reporting type,Series,Reference area,Composite breakdown,Units,Value
2013,Annual,National,_L_KG_010B01_11,,Sector: Total,PT,86.5
2014,Annual,National,_L_KG_010B01_11,,Sector: Total,PT,80.2
2015,Annual,National,_L_KG_010B01_11,,Sector: Total,PT,81.8
2016,Annual,National,_L_KG_010B01_11,,Sector: Total,PT,80.0
2017,Annual,National,_L_KG_010B01_11,,Sector: Total,PT,78.4
2018,Annual,National,_L_KG_010B01_11,,Sector: Total,PT,88.7
2013,Annual,National,_L_KG_010B01_12,,Sector: Total,PT,13.5
2014,Annual,National,_L_KG_010B01_12,,Sector: Total,PT,19.8
2015,Annual,National,_L_KG_010B01_12,,Sector: Total,PT,18.2
2016,Annual,National,_L_KG_010B01_12,,Sector: Total,PT,20.0
2017,Annual,National,_L_KG_010B01_12,,Sector: Total,PT,21.6
2018,Annual,National,_L_KG_010B01_12,,Sector: Total,PT,11.3
2013,Annual,National,_L_KG_010B01_11,,Sector: Economic affairs,PT,29.3
2014,Annual,National,_L_KG_010B01_11,,Sector: Economic affairs,PT,24.5
2015,Annual,National,_L_KG_010B01_11,,Sector: Economic affairs,PT,29.2
2016,Annual,National,_L_KG_010B01_11,,Sector: Economic affairs,PT,32.1
2017,Annual,National,_L_KG_010B01_11,,Sector: Economic affairs,PT,24.0
2018,Annual,National,_L_KG_010B01_11,,Sector: Economic affairs,PT,41.5
2013,Annual,National,_L_KG_010B01_12,,Sector: Economic affairs,PT,70.7
2014,Annual,National,_L_KG_010B01_12,,Sector: Economic affairs,PT,75.5
2015,Annual,National,_L_KG_010B01_12,,Sector: Economic affairs,PT,70.8
2016,Annual,National,_L_KG_010B01_12,,Sector: Economic affairs,PT,67.9
2017,Annual,National,_L_KG_010B01_12,,Sector: Economic affairs,PT,76.0
2018,Annual,National,_L_KG_010B01_12,,Sector: Economic affairs,PT,58.5
2013,Annual,National,_L_KG_010B01_11,,Sector: Health,PT,96.5
2014,Annual,National,_L_KG_010B01_11,,Sector: Health,PT,97.6
2015,Annual,National,_L_KG_010B01_11,,Sector: Health,PT,97.6
2016,Annual,National,_L_KG_010B01_11,,Sector: Health,PT,98.6
2017,Annual,National,_L_KG_010B01_11,,Sector: Health,PT,94.2
2018,Annual,National,_L_KG_010B01_11,,Sector: Health,PT,95.5
2013,Annual,National,_L_KG_010B01_12,,Sector: Health,PT,3.5
2014,Annual,National,_L_KG_010B01_12,,Sector: Health,PT,2.4
2015,Annual,National,_L_KG_010B01_12,,Sector: Health,PT,2.4
2016,Annual,National,_L_KG_010B01_12,,Sector: Health,PT,1.4
2017,Annual,National,_L_KG_010B01_12,,Sector: Health,PT,5.8
2018,Annual,National,_L_KG_010B01_12,,Sector: Health,PT,4.5
2013,Annual,National,_L_KG_010B01_11,,Sector: Education,PT,92.2
2014,Annual,National,_L_KG_010B01_11,,Sector: Education,PT,89.6
2015,Annual,National,_L_KG_010B01_11,,Sector: Education,PT,90.6
2016,Annual,National,_L_KG_010B01_11,,Sector: Education,PT,84.8
2017,Annual,National,_L_KG_010B01_11,,Sector: Education,PT,90.4
2018,Annual,National,_L_KG_010B01_11,,Sector: Education,PT,91.6
2013,Annual,National,_L_KG_010B01_12,,Sector: Education,PT,7.8
2014,Annual,National,_L_KG_010B01_12,,Sector: Education,PT,10.4
2015,Annual,National,_L_KG_010B01_12,,Sector: Education,PT,9.4
2016,Annual,National,_L_KG_010B01_12,,Sector: Education,PT,15.2
2017,Annual,National,_L_KG_010B01_12,,Sector: Education,PT,9.6
2018,Annual,National,_L_KG_010B01_12,,Sector: Education,PT,8.4
2013,Annual,National,_L_KG_010B01_11,,Sector: Housing and community amenities,PT,94.3
2014,Annual,National,_L_KG_010B01_11,,Sector: Housing and community amenities,PT,89.4
2015,Annual,National,_L_KG_010B01_11,,Sector: Housing and community amenities,PT,91.7
2016,Annual,National,_L_KG_010B01_11,,Sector: Housing and community amenities,PT,99.4
2017,Annual,National,_L_KG_010B01_11,,Sector: Housing and community amenities,PT,90.1
2018,Annual,National,_L_KG_010B01_11,,Sector: Housing and community amenities,PT,95.1
2013,Annual,National,_L_KG_010B01_12,,Sector: Housing and community amenities,PT,5.7
2014,Annual,National,_L_KG_010B01_12,,Sector: Housing and community amenities,PT,10.6
2015,Annual,National,_L_KG_010B01_12,,Sector: Housing and community amenities,PT,8.3
2016,Annual,National,_L_KG_010B01_12,,Sector: Housing and community amenities,PT,0.6
2017,Annual,National,_L_KG_010B01_12,,Sector: Housing and community amenities,PT,9.9
2018,Annual,National,_L_KG_010B01_12,,Sector: Housing and community amenities,PT,4.9
