Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,10.5
2008,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,10.8
2009,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,9.1
2010,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,9.0
2011,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,8.0
2012,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,7.9
2013,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,6.4
2014,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,6.8
2015,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,7.0
2016,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,6.0
2017,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,5.9
2018,Annual,National,SH_STA_POISN,Kyrgyzstan,PER_100000_POP,6.3
2007,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,1.4
2008,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,2.8
2009,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,3.5
2010,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,3.0
2011,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,1.3
2012,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,3.5
2013,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,3.9
2014,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,2.1
2015,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,1.4
2016,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,1.2
2017,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,3.3
2018,Annual,National,SH_STA_POISN,Batken,PER_100000_POP,1.2
2007,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.3
2008,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,1.4
2009,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,1.5
2010,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.4
2011,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.2
2012,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.4
2013,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.2
2014,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.1
2015,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.9
2016,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,1.9
2017,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.5
2018,Annual,National,SH_STA_POISN,Jalal-Abad,PER_100000_POP,2.4
2007,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,34.1
2008,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,35.1
2009,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,26.2
2010,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,33.0
2011,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,31.4
2012,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,26.6
2013,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,24.8
2014,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,30.6
2015,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,31.3
2016,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,19.4
2017,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,23.5
2018,Annual,National,SH_STA_POISN,Issyk-Kul,PER_100000_POP,26.7
2007,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,12.4
2008,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,9.3
2009,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,9.7
2010,Annual,National,SH_STA_POISN,Naryn,PER_100000_POP,11.5
