Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.018437
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.003428
2009,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000743
2010,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000367
2011,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.007979
2012,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000535
2013,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000699
2015,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000168
2016,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000987
2017,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000323
2018,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,,PER_1000_POP,0.000158
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Batken,PER_1000_POP,0.051816
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Batken,PER_1000_POP,0.004667
2009,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Batken,PER_1000_POP,0.006969
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Jalal-Abad,PER_1000_POP,0.006141
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Jalal-Abad,PER_1000_POP,0.001013
2009,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Jalal-Abad,PER_1000_POP,0.000985
2010,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Jalal-Abad,PER_1000_POP,0.001942
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Issyk-Kul,PER_1000_POP,0.0
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Issyk-Kul,PER_1000_POP,0.0
2012,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Issyk-Kul,PER_1000_POP,0.002219
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Naryn,PER_1000_POP,0.003714
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Naryn,PER_1000_POP,0.003695
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Osh,PER_1000_POP,0.0
2011,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Osh,PER_1000_POP,0.000878
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Talas,PER_1000_POP,0.0
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Talas,PER_1000_POP,0.0
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Chui,PER_1000_POP,0.031648
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Chui,PER_1000_POP,0.005255
2012,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Chui,PER_1000_POP,0.001204
2016,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Chui,PER_1000_POP,0.001116
2017,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Chui,PER_1000_POP,0.0
2018,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Chui,PER_1000_POP,0.001074
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.051835
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.01221
2011,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.047285
2012,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.001131
2013,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.004419
2015,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.001055
2016,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.003095
2017,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Bishkek (city),PER_1000_POP,0.002018
2007,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Osh (city),PER_1000_POP,0.004004
2008,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Osh (city),PER_1000_POP,0.0
2016,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Osh (city),PER_1000_POP,0.007173
2017,Normal value,Units,Country Data,Annual,National,SH_STA_MALR,Osh (city),PER_1000_POP,0.0
